dstport,protocol,tag
1,tcp,sv_P5
2,dgp,sv_P1
3,udp,sv_P1
4,tcp,sv_P1
5,ipv6,sv_P2
6,dgp,sv_P4
7,tcp,sv_P4
8,udp,SV_P3
9,sprite-rpc,sv_P5
10,sprite-rpc,sv_P4
11,dgp,sv_P4
12,tcp,sv_P1
13,tcp,sv_P4
14,dgp,sv_P1
15,tcp,sv_P5
16,tcp,sv_P2
17,sprite-rpc,sv_P4
18,dgp,sv_P1
19,ipv6,sv_P2
20,tcp,SV_P3
21,dgp,sv_P4
22,tcp,sv_P5
23,dgp,SV_P3
24,ipv6,sv_P1
25,sprite-rpc,sv_P2
26,tcp,sv_P2
27,udp,sv_P5
28,ipv6,sv_P2
29,sprite-rpc,sv_P2
30,udp,sv_P5
31,sprite-rpc,sv_P2
32,tcp,sv_P4
33,ipv6,sv_P1
34,ipv6,sv_P5
35,udp,sv_P2
36,sprite-rpc,sv_P1
37,udp,sv_P4
38,tcp,sv_P5
39,udp,sv_P1
40,sprite-rpc,sv_P1
41,sprite-rpc,sv_P5
42,tcp,sv_P5
43,ipv6,sv_P5
44,tcp,SV_P3
45,dgp,sv_P4
46,ipv6,sv_P4
47,sprite-rpc,sv_P4
48,udp,sv_P2
49,sprite-rpc,sv_P2
50,ipv6,SV_P3
51,sprite-rpc,SV_P3
52,udp,sv_P1
53,dgp,sv_P2
54,tcp,sv_P5
55,tcp,sv_P1
56,dgp,sv_P4
57,udp,sv_P2
58,ipv6,sv_P1
59,tcp,SV_P3
60,udp,sv_P5
61,dgp,sv_P4
62,udp,sv_P5
63,sprite-rpc,sv_P5
64,sprite-rpc,SV_P3
65,tcp,sv_P1
66,sprite-rpc,SV_P3
67,tcp,sv_P4
68,sprite-rpc,sv_P1
69,tcp,sv_P4
70,dgp,SV_P3
71,dgp,sv_P2
72,sprite-rpc,sv_P2
73,sprite-rpc,sv_P5
74,udp,SV_P3
75,dgp,sv_P5
76,dgp,SV_P3
77,dgp,sv_P1
78,ipv6,sv_P5
79,ipv6,sv_P2
80,sprite-rpc,sv_P2
81,ipv6,sv_P1
82,sprite-rpc,SV_P3
83,ipv6,sv_P4
84,udp,sv_P4
85,udp,sv_P2
86,sprite-rpc,sv_P5
87,tcp,sv_P1
88,udp,sv_P4
89,udp,sv_P5
90,sprite-rpc,sv_P5
91,dgp,sv_P1
92,dgp,sv_P4
93,sprite-rpc,sv_P4
94,tcp,sv_P4
95,ipv6,sv_P5
96,tcp,sv_P5
97,tcp,sv_P4
98,tcp,sv_P5
99,dgp,sv_P1
100,sprite-rpc,sv_P5
101,ipv6,sv_P5
102,udp,sv_P1
103,dgp,sv_P2
104,tcp,SV_P3
105,dgp,sv_P1
106,tcp,sv_P5
107,ipv6,sv_P1
108,sprite-rpc,sv_P1
109,tcp,sv_P5
110,udp,sv_P2
111,udp,sv_P2
112,udp,sv_P2
113,dgp,sv_P2
114,tcp,sv_P4
115,dgp,sv_P2
116,udp,sv_P2
117,udp,sv_P1
118,udp,sv_P5
119,ipv6,sv_P4
120,udp,sv_P5
121,sprite-rpc,sv_P5
122,udp,sv_P5
123,sprite-rpc,sv_P1
124,sprite-rpc,sv_P4
125,tcp,SV_P3
126,dgp,SV_P3
127,ipv6,SV_P3
128,udp,SV_P3
129,udp,SV_P3
130,tcp,sv_P4
131,ipv6,sv_P4
132,dgp,sv_P4
